# source https://www.bankofengland.co.uk , (c) OGL3.0
#"Date","Monthly average of UK resident banks' sterling Base rate tracker mortgage to Individuals and individual trusts (in percent) not seasonally adjusted              [a]             CFMZ6IY"
"30 Jun 23","5.86"
"31 May 23","5.57"
"30 Apr 23","5.4"
"31 Mar 23","5.43"
"28 Feb 23","5.01"
"31 Jan 23","4.63"
"31 Dec 22","4.53"
"30 Nov 22","3.83"
"31 Oct 22","3.38"
"30 Sep 22","3.24"
"31 Aug 22","2.8"
"31 Jul 22","2.58"
"30 Jun 22","2.51"
"31 May 22","2.28"
"30 Apr 22","2.07"
"31 Mar 22","1.99"
"28 Feb 22","1.79"
"31 Jan 22","1.69"
"31 Dec 21","1.62"
"30 Nov 21","1.63"
"31 Oct 21","1.6"
"30 Sep 21","1.59"
"31 Aug 21","1.6"
"31 Jul 21","1.57"
"30 Jun 21","1.55"
"31 May 21","1.58"
"30 Apr 21","1.55"
"31 Mar 21","1.54"
"28 Feb 21","1.53"
"31 Jan 21","1.54"
"31 Dec 20","1.54"
"30 Nov 20","1.53"
"31 Oct 20","1.53"
"30 Sep 20","1.54"
"31 Aug 20","1.53"
"31 Jul 20","1.52"
"30 Jun 20","1.51"
"31 May 20","1.44"
"30 Apr 20","1.61"
"31 Mar 20","2.12"
"29 Feb 20","2.18"
"31 Jan 20","2.19"
"31 Dec 19","2.16"
"30 Nov 19","2.2"
"31 Oct 19","2.21"
"30 Sep 19","2.2"
"31 Aug 19","2.21"
"31 Jul 19","2.21"
"30 Jun 19","2.19"
"31 May 19","2.14"
"30 Apr 19","2.21"
"31 Mar 19","2.22"
"28 Feb 19","2.22"
"31 Jan 19","2.22"
"31 Dec 18","2.24"
"30 Nov 18","2.25"
"31 Oct 18","2.26"
"30 Sep 18","2.29"
"31 Aug 18","2.05"
"31 Jul 18","2.02"
"30 Jun 18","2.02"
"31 May 18","2.01"
"30 Apr 18","2.01"
"31 Mar 18","2.02"
"28 Feb 18","2.02"
"31 Jan 18","2.04"
"31 Dec 17","2.03"
"30 Nov 17","1.87"
"31 Oct 17","1.82"
"30 Sep 17","1.8"
"31 Aug 17","1.8"
"31 Jul 17","1.82"
"30 Jun 17","1.8"
"31 May 17","1.79"
"30 Apr 17","1.81"
"31 Mar 17","1.79"
"28 Feb 17","1.71"
"31 Jan 17","1.71"
"31 Dec 16","1.71"
"30 Nov 16","1.71"
"31 Oct 16","1.72"
"30 Sep 16","1.74"
"31 Aug 16","1.93"
"31 Jul 16","1.98"
"30 Jun 16","1.98"
"31 May 16","2"
"30 Apr 16","2.02"
"31 Mar 16","1.99"
"29 Feb 16","1.99"
"31 Jan 16","2"
